nameLabel,seriesLabel,plateformLabel,pub_year,publisherLabel,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Need for Speed: ProStreet,Need for Speed,PlayStation 3,2007,Electronic Arts,EA Canada,http://www.ea.com/prostreet,Everyone 10+,PEGI 3,,
Need for Speed: ProStreet,Need for Speed,Xbox 360,2007,Electronic Arts,EA Canada,http://www.ea.com/prostreet,Everyone 10+,PEGI 3,,
Rayman M,,PlayStation 2,2001,Ubisoft,Ubisoft Shanghai,,,,,
Rayman M,,Xbox,2001,Ubisoft,Ubisoft Shanghai,,,,,
Rayman M,,PlayStation 2,2002,Ubisoft,Ubisoft Shanghai,,,,,
Rayman M,,Xbox,2002,Ubisoft,Ubisoft Shanghai,,,,,
Rayman M,,PlayStation 2,2001,Ubisoft,Ubisoft Montpellier,,,,,
Rayman M,,Xbox,2001,Ubisoft,Ubisoft Montpellier,,,,,
Rayman M,,PlayStation 2,2002,Ubisoft,Ubisoft Montpellier,,,,,
Rayman M,,Xbox,2002,Ubisoft,Ubisoft Montpellier,,,,,
World Racing,,PlayStation 2,2003,TDK Mediactive,Synetic GmbH,,,,,
World Racing,,Xbox,2003,TDK Mediactive,Synetic GmbH,,,,,
Sports Champions 2,,PlayStation 3,2012,Sony Interactive Entertainment,SCE San Diego Studio,,,,,
World in Conflict,,Xbox 360,2007,Ubisoft,Massive Entertainment,,,PEGI 16,,
Fat Princess,,PlayStation 3,2009,Sony Interactive Entertainment,Q4051528,,Teen,PEGI 16,,
Smuggler's Run,,PlayStation 2,2000,Rockstar Games,Rockstar San Diego,http://www.rockstargames.com/smugglersrun1/,,,,
Justice League Heroes,,PlayStation 2,2006,Warner Bros. Interactive Entertainment,Snowblind Studios,http://justiceleagueheroes.warnerbros.com,,,,
Justice League Heroes,,Xbox,2006,Warner Bros. Interactive Entertainment,Snowblind Studios,http://justiceleagueheroes.warnerbros.com,,,,
Virtua Tennis 2009,Q14711888,Wii,2009,Sega,Sumo Digital,,,,,
Virtua Tennis 2009,Q14711888,PlayStation 3,2009,Sega,Sumo Digital,,,,,
